PARTNO,ROUTECD,PARTCUSTID,TRANSCD,QTY,DATE,TIME,PART_ID,datetime
CSZ17810007,R10,J718,3,4.0,2025-07-02,17:00:10,CSZ17810007,2025-07-02 17:00:10
CS241791430,R10,J718,3,1.0,2025-07-02,17:00:10,CS241791430,2025-07-02 17:00:10
C15472E0070,R10,J718,3,1.0,2025-07-02,17:00:10,C15472E0070,2025-07-02 17:00:10
A4860906100,M1,C733,8,2.0,2025-07-01,07:38:01,A4860906100,2025-07-01 07:38:01
A4876006090,M1,C733,8,1.0,2025-07-01,07:38:01,A4876006090,2025-07-01 07:38:01
D7714430030,R5,C753,3,1.0,2025-07-04,13:36:04,D7714430030,2025-07-04 13:36:04
A9015960477,R13,C709,3,4.0,2025-07-04,13:40:05,A9015960477,2025-07-04 13:40:05
D8790933F40B2,R5,C753,3,1.0,2025-07-04,13:50:05,D8790933F40B2,2025-07-04 13:50:05
A1717631090,R11,C714,3,1.0,2025-07-04,14:28:02,A1717631090,2025-07-04 14:28:02
N909812001583,R11,C714,3,1.0,2025-07-03,09:40:09,N909812001583,2025-07-03 09:40:09
A3597530270,R11,C714,3,1.0,2025-07-03,09:40:09,A3597530270,2025-07-03 09:40:09
A0446548150,R8,C719,8,1.0,2025-07-03,09:44:05,A0446548150,2025-07-03 09:44:05
A9018906006,R13,C709,3,4.0,2025-07-04,13:40:05,A9018906006,2025-07-04 13:40:05
6C99D512Q03B,R8,C719,3,1.0,2025-07-03,09:40:09,6C99D512Q03B,2025-07-03 09:40:09
A3595212030,R11,C714,3,1.0,2025-07-03,09:40:09,A3595212030,2025-07-03 09:40:09
A4351248110,R8,C719,8,1.0,2025-07-03,09:44:05,A4351248110,2025-07-03 09:44:05
A9015960623,R13,C709,3,4.0,2025-07-04,13:40:05,A9015960623,2025-07-04 13:40:05
A4815706050,M1,C733,8,2.0,2025-07-01,07:38:01,A4815706050,2025-07-01 07:38:01
A4806809025,R6,C717,3,1.0,2025-07-01,10:22:05,A4806809025,2025-07-01 10:22:05
A52128BZ700C0,R6,4277,3,24.0,2025-07-02,09:10:47,A52128BZ700C0,2025-07-02 09:10:47
A52127BZD50C0,R6,4277,3,24.0,2025-07-02,09:10:47,A52127BZD50C0,2025-07-02 09:10:47
A52127BZD50C0,R6,4277,3,6.0,2025-07-02,09:10:47,A52127BZD50C0,2025-07-02 09:10:47
A52128BZ700C0,R6,4277,3,6.0,2025-07-02,09:10:47,A52128BZ700C0,2025-07-02 09:10:47
C5212737010,SDHN,J761,3,1.0,2025-07-01,10:06:05,C5212737010,2025-07-01 10:06:05
NP750142004,R8,C719,3,1.0,2025-07-01,10:06:05,NP750142004,2025-07-01 10:06:05
NP750142006,R8,C719,3,1.0,2025-07-01,10:06:05,NP750142006,2025-07-01 10:06:05
A7576102080,R10,B730,3,1.0,2025-07-09,11:06:02,A7576102080,2025-07-09 11:06:02
A4806909025,R6,C717,3,1.0,2025-07-01,10:22:05,A4806909025,2025-07-01 10:22:05
A1717631090,R11,C714,3,1.0,2025-07-04,15:22:03,A1717631090,2025-07-04 15:22:03
A6767348010,M1,C728,3,1.0,2025-07-04,15:20:08,A6767348010,2025-07-04 15:20:08
A1717631090,R11,C714,3,1.0,2025-07-04,15:24:01,A1717631090,2025-07-04 15:24:01
A7592302250,M1,C728,3,1.0,2025-07-04,15:20:08,A7592302250,2025-07-04 15:20:08
A165720M020,R6,A713,8,1.0,2025-07-04,15:08:05,A165720M020,2025-07-04 15:08:05
A1632562010,R6,A713,8,1.0,2025-07-04,15:08:05,A1632562010,2025-07-04 15:08:05
A9046733006,R6,A713,8,4.0,2025-07-04,15:08:05,A9046733006,2025-07-04 15:08:05
CS276104910,R9,J752,3,1.0,2025-07-08,09:32:03,CS276104910,2025-07-08 09:32:03
A4881842030,R5,C703,3,2.0,2025-07-08,09:50:13,A4881842030,2025-07-08 09:50:13
C4851180182,R8,J717,3,1.0,2025-07-08,09:50:13,C4851180182,2025-07-08 09:50:13
A1640131480,R6,A713,8,1.0,2025-07-04,15:08:05,A1640131480,2025-07-04 15:08:05
C16630E0171,R5,J703,3,1.0,2025-07-09,16:28:03,C16630E0171,2025-07-09 16:28:03
NP75014200D,R8,C719,3,1.0,2025-07-01,10:06:05,NP75014200D,2025-07-01 10:06:05
